word,count,rank,In Top,letter score,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
bloke,766763,3719,5000,38.59,0,12.02,0,0,5.92,0,0,0,0,0,6.95,7.68,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
fable,1678751,2513,5000,37.25,4.32,12.02,0,0,5.92,7.31,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blake,5393654,1331,5000,36.89,4.32,12.02,0,0,5.92,0,0,0,0,0,6.95,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bleak,1088632,3105,5000,36.89,4.32,12.02,0,0,5.92,0,0,0,0,0,6.95,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pablo,3042285,1833,5000,36.32,4.32,12.02,0,0,0,0,0,0,0,0,0,7.68,0,0,6.02,6.28,0,0,0,0,0,0,0,0,0,0
block,49694725,288,5000,34.97,0,12.02,2.3,0,0,0,0,0,0,0,6.95,7.68,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
broke,10460811,874,5000,33.79,0,12.02,0,0,5.92,0,0,0,0,0,6.95,0,0,0,6.02,0,0,2.88,0,0,0,0,0,0,0,0
fabio,814179,3597,5000,33.65,4.32,12.02,0,0,0,7.31,0,0,3.98,0,0,0,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
black,244690155,38,5000,33.27,4.32,12.02,2.3,0,0,0,0,0,0,0,6.95,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
probe,9643801,929,5000,33.12,0,12.02,0,0,5.92,0,0,0,0,0,0,0,0,0,6.02,6.28,0,2.88,0,0,0,0,0,0,0,0
labor,37866418,360,5000,32.92,4.32,12.02,0,0,0,0,0,0,0,0,0,7.68,0,0,6.02,0,0,2.88,0,0,0,0,0,0,0,0
lesbo,2606338,1995,5000,32.75,0,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0,6.02,0,0,0,1.11,0,0,0,0,0,0,0
lobes,491048,4714,5000,32.75,0,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0,6.02,0,0,0,1.11,0,0,0,0,0,0,0
libro,692996,3936,5000,32.58,0,12.02,0,0,0,0,0,0,3.98,0,0,7.68,0,0,6.02,0,0,2.88,0,0,0,0,0,0,0,0
libor,544198,4465,5000,32.58,0,12.02,0,0,0,0,0,0,3.98,0,0,7.68,0,0,6.02,0,0,2.88,0,0,0,0,0,0,0,0
broil,479526,4761,5000,32.58,0,12.02,0,0,0,0,0,0,3.98,0,0,7.68,0,0,6.02,0,0,2.88,0,0,0,0,0,0,0,0
libre,1247864,2913,5000,32.48,0,12.02,0,0,5.92,0,0,0,3.98,0,0,7.68,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
faber,1310033,2853,5000,32.45,4.32,12.02,0,0,5.92,7.31,0,0,0,0,0,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
cable,70082598,217,5000,32.24,4.32,12.02,2.3,0,5.92,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caleb,1225445,2933,5000,32.24,4.32,12.02,2.3,0,5.92,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flake,847014,3544,5000,32.18,4.32,0,0,0,5.92,7.31,0,0,0,0,6.95,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brief,32599674,410,5000,32.11,0,12.02,0,0,5.92,7.31,0,0,3.98,0,0,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
fiber,15530318,660,5000,32.11,0,12.02,0,0,5.92,7.31,0,0,3.98,0,0,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
fibre,5134463,1370,5000,32.11,0,12.02,0,0,5.92,7.31,0,0,3.98,0,0,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
break,51242970,284,5000,32.09,4.32,12.02,0,0,5.92,0,0,0,0,0,6.95,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
baker,14862470,681,5000,32.09,4.32,12.02,0,0,5.92,0,0,0,0,0,6.95,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
brake,9321885,952,5000,32.09,4.32,12.02,0,0,5.92,0,0,0,0,0,6.95,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
table,165341452,86,5000,32.03,4.32,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0,2.09,0,0,0,0,0,0
blade,11527988,819,5000,31.97,4.32,12.02,0,2.03,5.92,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abdel,595652,4263,5000,31.97,4.32,12.02,0,2.03,5.92,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jakob,1079504,3114,5000,31.92,4.32,12.02,0,0,0,0,0,0,0,2.61,6.95,0,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
blame,8170544,1044,5000,31.76,4.32,12.02,0,0,5.92,0,0,0,0,0,0,7.68,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0
mabel,943150,3340,5000,31.76,4.32,12.02,0,0,5.92,0,0,0,0,0,0,7.68,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0
noble,12604679,780,5000,31.75,0,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0.11,6.02,0,0,0,0,0,0,0,0,0,0,0
biker,3530897,1703,5000,31.75,0,12.02,0,0,5.92,0,0,0,3.98,0,6.95,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
nobel,3397169,1734,5000,31.75,0,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0.11,6.02,0,0,0,0,0,0,0,0,0,0,0
globe,14554904,693,5000,31.74,0,12.02,0,0,5.92,0,0.1,0,0,0,0,7.68,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
below,145701629,101,5000,31.71,0,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0,6.02,0,0,0,0,0,0,0,0.07,0,0,0
elbow,3484326,1713,5000,31.71,0,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0,6.02,0,0,0,0,0,0,0,0.07,0,0,0
bowel,2666510,1958,5000,31.71,0,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0,6.02,0,0,0,0,0,0,0,0.07,0,0,0
boyle,1944635,2324,5000,31.64,0,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0,6.02,0,0,0,0,0,0,0,0,0,,0
bolle,703282,3898,5000,31.64,0,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
bello,663280,4031,5000,31.64,0,12.02,0,0,5.92,0,0,0,0,0,0,7.68,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0
mobil,1899550,2358,5000,31.52,0,12.02,0,0,0,0,0,0,3.98,0,0,7.68,1.82,0,6.02,0,0,0,0,0,0,0,0,0,0,0
limbo,847468,3541,5000,31.52,0,12.02,0,0,0,0,0,0,3.98,0,0,7.68,1.82,0,6.02,0,0,0,0,0,0,0,0,0,0,0
polka,1242601,2920,5000,31.25,4.32,0,0,0,0,0,0,0,0,0,6.95,7.68,0,0,6.02,6.28,0,0,0,0,0,0,0,0,0,0
baked,4716100,1437,5000,31.24,4.32,12.02,0,2.03,5.92,0,0,0,0,0,6.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
